Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"DATA BINDING - {""item"":""sunglasses"",""category"":""Clothing \u0026 Accessories""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:56,20-03-2025 11:13:00,3.497s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:00,20-03-2025 11:13:19,18.597s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:19,20-03-2025 11:13:27,8.195s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:27,20-03-2025 11:13:29,2.221s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:29,20-03-2025 11:13:51,22.478s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:51,20-03-2025 11:13:53,1.603s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:53,20-03-2025 11:14:34,40.735s,PASSED
"DATA BINDING - {""item"":""coins"",""category"":""Collectibles""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:53,20-03-2025 11:13:57,3.473s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:13:57,20-03-2025 11:14:06,9.738s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:06,20-03-2025 11:14:14,7.989s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:14,20-03-2025 11:14:15,0.758s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:15,20-03-2025 11:14:32,17.184s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:32,20-03-2025 11:14:34,1.575s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:34,20-03-2025 11:15:01,27.291s,PASSED
"DATA BINDING - {""item"":""laptops"",""category"":""Computers \u0026 Accessories""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:34,20-03-2025 11:14:37,3.103s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:37,20-03-2025 11:14:49,12.347s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:49,20-03-2025 11:14:54,4.554s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:54,20-03-2025 11:14:55,0.815s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:55,20-03-2025 11:14:59,4.722s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:14:59,20-03-2025 11:15:01,1.705s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:01,20-03-2025 11:15:35,34.158s,PASSED
"DATA BINDING - {""item"":""combo offers"",""category"":""Deals""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:01,20-03-2025 11:15:04,3.141s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:04,20-03-2025 11:15:11,6.697s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:11,20-03-2025 11:15:20,8.630s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:20,20-03-2025 11:15:21,1.749s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:21,20-03-2025 11:15:32,10.706s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:32,20-03-2025 11:15:35,3.207s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:35,20-03-2025 11:16:53,1m - 18.060s,PASSED
"DATA BINDING - {""item"":""TVs"",""category"":""Electronics""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:35,20-03-2025 11:15:38,3.039s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:38,20-03-2025 11:15:51,12.563s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:51,20-03-2025 11:15:57,5.767s,PASSED
